country,qid,year,month,views,total_views,views_norm
Germany,Q243257,2024,12,1515,1089010277,1.3911714443811443
Germany,Q243257,2025,1,1904,1204433626,1.580826007260611
Germany,Q243257,2025,2,2133,1023400858,2.0842272930750267
Germany,Q243257,2025,3,2814,1106946392,2.5421285261301074
Germany,Q243257,2025,4,4045,1028668272,3.932268652687676
Germany,Q243257,2025,5,4464,1026492186,4.348791019437921
Germany,Q243257,2025,6,4013,943474520,4.253427002988909
Germany,Q243257,2025,7,55646,965067983,57.66018661920525
Germany,Q243257,2025,8,32528,993169707,32.751703732743835
Germany,Q243257,2025,9,26032,978761012,26.596891049844963
Germany,Q243257,2025,10,12175,1047346829,11.624611506796285
Germany,Q243257,2025,11,6166,1039298236,5.9328494809453325
Germany,Q243257,2025,12,6815,1079604451,6.312497131414661
France,Q243257,2015,7,20101,721312784,27.867244898296438
France,Q243257,2015,8,21878,760009616,28.786477880564078
France,Q243257,2015,9,10365,800392151,12.949902103675178
France,Q243257,2015,10,7083,850646467,8.326608379365666
France,Q243257,2015,11,5851,864463880,6.768356822496736
France,Q243257,2015,12,5765,874405769,6.59304890748039
France,Q243257,2016,1,11432,954090151,11.982096228556498
France,Q243257,2016,2,11179,857971707,13.029567185949174
France,Q243257,2016,3,6582,886789046,7.422283833668374
France,Q243257,2016,4,5482,883076055,6.2078458236533205
France,Q243257,2016,5,6575,868749336,7.568351108356991
France,Q243257,2016,6,6484,821466933,7.893196596873851
France,Q243257,2016,7,10686,773687623,13.811775815366767
France,Q243257,2016,8,7573,773486877,9.790728485752966
France,Q243257,2016,9,5766,799400551,7.212904710644865
France,Q243257,2016,10,4078,961871320,4.239652347675778
France,Q243257,2016,11,3816,893280511,4.2718943859282295
France,Q243257,2016,12,3346,949899251,3.5224788275993704
France,Q243257,2017,1,4051,968786675,4.181519115134402
France,Q243257,2017,2,3935,860461090,4.573129506646256
France,Q243257,2017,3,4977,933698338,5.330415400182495
France,Q243257,2017,4,4312,836808923,5.152908724420951
France,Q243257,2017,5,5743,904648182,6.348324259385954
France,Q243257,2017,6,6278,764579732,8.211046849983724
France,Q243257,2017,7,6733,691516761,9.736568048276128
France,Q243257,2017,8,13002,710555408,18.298361892138328
France,Q243257,2017,9,5673,715050369,7.933706835133456
France,Q243257,2017,10,4959,798946427,6.206924309832353
France,Q243257,2017,11,3598,810432794,4.439603168378204
France,Q243257,2017,12,3336,784772381,4.250914125888434
France,Q243257,2018,1,3661,854572081,4.284015452173425
France,Q243257,2018,2,3389,755732550,4.484390674981513
France,Q243257,2018,3,3815,841509511,4.533519764341677
France,Q243257,2018,4,10832,788497920,13.737512459132422
France,Q243257,2018,5,13805,838607400,16.461815147350237
France,Q243257,2018,6,9169,742449950,12.349654006980538
France,Q243257,2018,7,11294,728088617,15.511848058462368
France,Q243257,2018,8,11457,737003446,15.54538185972064
France,Q243257,2018,9,7365,731877664,10.06315722186051
France,Q243257,2018,10,5206,823779200,6.319654587054395
France,Q243257,2018,11,3985,859872103,4.634410147854279
France,Q243257,2018,12,3608,835992887,4.315826194344163
France,Q243257,2019,1,4235,911773633,4.644793232357049
France,Q243257,2019,2,5044,779462657,6.4711246327224625
France,Q243257,2019,3,6963,859340914,8.102721383983818
France,Q243257,2019,4,11290,823434314,13.71086898863435
France,Q243257,2019,5,9023,843843762,10.69273769188567
France,Q243257,2019,6,11802,736511790,16.024183401055943
